multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgAPOBEC3A_2	sgANKRD49_4	NA	sgRHBDL3_2	NA	sgDIS3_2
sgAPOBEC3B_1	sgANKRD50_1	NA	sgRNF212B_1	NA	sgDIXDC1_3
sgAPOBEC3B_2	sgANKRD54_2	NA	sgRNF216_4	NA	sgDLG1_2
sgAPOBEC3B_5	sgANKRD7_3	NA	sgRPL34_4	NA	sgDLG2_1
sgAPOBEC3B_6	sgANKS6_4	NA	sgRTP4_4	NA	sgDMKN_1
sgAPOBEC3F_2	sgANO10_2	NA	sgSAMD10_1	NA	sgDMKN_2
sgAPOBEC3F_3	sgANO1_1	NA	sgSCN2B_4	NA	sgDMKN_3
sgAPOBEC3F_4	sgANP32B_4	NA	sgSERPINB4_4	NA	sgDNAJB12_2
sgAPOBEC3F_5	sgANP32D_4	NA	sgSETDB1_4	NA	sgDNAJB12_4
sgAPOBEC3F_6	sgANTXRL_1	NA	sgSEZ6L_4	NA	sgDPEP3_3
sgAPOBEC3G_2	sgANXA10_2	NA	sgSFMBT2_2	NA	sgDPY19L1_1
sgAPOBEC3G_4	sgANXA2_2	NA	sgSFTPA2_3	NA	sgDPY19L1_2
sgAPOBEC3G_7	sgANXA8L1_1	NA	sgSHISA6_3	NA	sgDPYSL3_1
sgAPOC1_1	sgANXA8L1_7	NA	sgSLC25A15_1	NA	sgDRD3_2
sgAPOC1_3	sgANXA8_1	NA	sgSLC2A10_3	NA	sgDST_1
sgAQP10_1	sgANXA8_5	NA	sgSLC2A5_1	NA	sgDST_2
sgAQP10_2	sgANXA9_4	NA	sgSLC3A2_4	NA	sgDST_4
sgAQP10_3	sgAOAH_4	NA	sgSLC9A2_4	NA	sgDYRK1A_1
sgAQP10_4	sgAOC1_4	NA	sgSLFN12_4	NA	sgDYSF_2
sgAQP12B_1	sgAOC3_1	NA	sgSLFN5_4	NA	sgDYSF_3
sgAQP12B_2	sgAP2B1_1	NA	sgSMARCE1_1	NA	sgEDARADD_3
sgAQP12B_3	sgAP2B1_2	NA	sgSMCO4_4	NA	sgEGR3_3
sgAQP12B_4	sgAP3D1_4	NA	sgSMG6_4	NA	sgEGR4_3
sgAQP7_1	sgAP3M2_3	NA	sgSMIM4_3	NA	sgEIF6_1
sgAQP7_2	sgAP4S1_2	NA	sgSPACA3_4	NA	sgEIF6_3
sgARF1_4	sgAPBA2_3	NA	sgSPIB_2	NA	sgEML2_2
sgARF4_1	sgAPBA3_3	NA	sgSPRYD4_2	NA	sgEML2_4
sgARF6_2	sgAPCS_3	NA	sgST6GALNAC1_2	NA	sgEML2_5
sgARF6_3	sgAPI5_3	NA	sgSTPG2_1	NA	sgEML2_8
sgARG2_1	sgAPIP_2	NA	sgSTX2_2	NA	sgEPB41L1_1
sgARGFX_3	sgAPIP_4	NA	sgSYNC_4	NA	sgEPB41L1_4
sgARGLU1_2	sgAPITD1_4	NA	sgTASP1_3	NA	sgEPHA6_3
sgARHGAP11A_2	sgAPLF_1	NA	sgTEDDM1_3	NA	sgERN2_2
sgARHGAP11A_3	sgAPOA1BP_2	NA	sgTEX9_1	NA	sgERN2_3
sgARHGAP11A_5	sgAPOA1BP_4	NA	sgTHAP5_2	NA	sgESYT2_2
sgARHGAP11B_2	sgAPOA4_2	NA	sgTHEMIS2_3	NA	sgESYT2_3
sgARHGAP11B_3	sgAPOBEC3B_3	NA	sgTIMM10_4	NA	sgETNK1_2
sgARHGAP11B_4	sgAPOBEC3B_4	NA	sgTLDC2_3	NA	sgETNK1_3
sgARHGAP21_2	sgAPOBEC3D_3	NA	sgTLN2_1	NA	sgETNK1_4
sgARHGAP21_3	sgAPOBEC3F_1	NA	sgTMC1_1	NA	sgEVI5_1
sgARHGAP23_2	sgAPOC1_2	NA	sgTMCO2_2	NA	sgEVI5_2
sgARHGAP26_2	sgAPOC1_4	NA	sgTMEM64_2	NA	sgEVI5_3
sgARHGAP5_3	sgAPOF_2	NA	sgTMPRSS11F_1	NA	sgFAM161B_1
sgARHGEF35_2	sgAPOL1_3	NA	sgTNFSF14_4	NA	sgFAM19A5_1
sgARHGEF5_1	sgAPOL1_4	NA	sgTP53INP1_3	NA	sgFAM19A5_4
sgARID3B_1	sgAPOLD1_3	NA	sgTPD52_4	NA	sgFAM213B_1
sgARID3B_2	sgAQP7_3	NA	sgTRIQK_3	NA	sgFAM47E_1
sgARID3B_4	sgAQP7_4	NA	sgTSC1_1	NA	sgFAM47E_2
sgARIH2_1	sgARF1_1	NA	sgTTC27_3	NA	sgFAM47E_7
sgARL17A_1	sgARF1_3	NA	sgTWSG1_4	NA	sgFBRSL1_1
sgARL17A_2	sgARF4_3	NA	sgUBE3A_3	NA	sgFGF2_1
sgARL17A_3	sgARF6_4	NA	sgULBP1_3	NA	sgFGF2_2
sgARL17A_4	sgARFGEF2_2	NA	sgUNC13C_3	NA	sgFGF2_3
sgARL17B_1	sgARGFX_2	NA	sgUSP1_4	NA	sgFGF2_4
sgARL17B_2	sgARHGAP10_2	NA	sgUSP49_3	NA	sgFGFR2_4
sgARL17B_3	sgARHGAP11A_1	NA	sgUSP50_4	NA	sgFLAD1_1
sgARL17B_4	sgARHGAP11A_4	NA	sgVGF_2	NA	sgFLVCR2_4
sgARL2BP_1	sgARHGAP11B_1	NA	sgWBP2_2	NA	sgFRMD3_1
sgARL2BP_2	sgARHGAP18_3	NA	sgZBBX_1	NA	sgFRMD3_2
sgARL4A_1	sgARHGAP21_4	NA	sgZBTB32_2	NA	sgFRMD3_3
sgARL4A_3	sgARHGAP23_3	NA	sgZBTB7B_3	NA	sgFRRS1L_2
sgARL4A_4	sgARHGAP23_4	NA	sgZCCHC11_3	NA	sgFSIP2_3
sgARL5A_2	sgARHGAP27_3	NA	sgZCRB1_4	NA	sgFXYD2_1
sgARL8B_3	sgARHGAP35_4	NA	sgZNF114_3	NA	sgGABBR1_2
sgARMC10_1	sgARHGEF35_1	NA	sgZNF12_3	NA	sgGABRA4_1
sgARMC10_3	sgARHGEF35_3	NA	sgZNF16_1	NA	sgGALC_4
sgARMC1_3	sgARHGEF35_4	NA	sgZNF283_1	NA	sgGCNT2_2
sgARMC1_4	sgARHGEF5_4	NA	sgZNF30_3	NA	sgGCNT2_3
sgARMC4_2	sgARID3A_1	NA	sgZNF354C_3	NA	sgGCNT2_4
sgARPC1A_3	sgARID3A_2	NA	sgZNF382_4	NA	sgGEMIN2_1
sgARPC3_2	sgARID3B_3	NA	sgZNF624_2	NA	sgGEMIN2_3
sgARPP19_2	sgARID5A_1	NA	sgZNHIT1_1	NA	sgGHRL_1
sgASAH2B_1	sgARID5B_3	NA	NA	NA	sgGHRL_4
sgASAH2B_3	sgARIH2_3	NA	NA	NA	sgGKN1_4
sgASAH2B_4	sgARIH2_4	NA	NA	NA	sgGLDC_2
sgASAH2_1	sgARL10_2	NA	NA	NA	sgGNA12_1
sgASAH2_3	sgARL14EPL_3	NA	NA	NA	sgGNA12_2
sgASAH2_5	sgARL14EP_3	NA	NA	NA	sgGNA12_3
sgASNS_1	sgARL14_2	NA	NA	NA	sgGNA12_4
sgASNS_2	sgARL15_4	NA	NA	NA	sgGNAS_1
sgASNS_3	sgARL1_1	NA	NA	NA	sgGNAS_2
sgASS1_3	sgARL2BP_4	NA	NA	NA	sgGNAS_3
sgATAD1_1	sgARL2_1	NA	NA	NA	sgGNAS_4
sgATAD1_2	sgARL4A_2	NA	NA	NA	sgGPR142_1
sgATAD3A_1	sgARL5A_3	NA	NA	NA	sgGPR142_2
sgATAD3B_1	sgARL5A_4	NA	NA	NA	sgGPR142_4
sgATF4_1	sgARL6IP1_3	NA	NA	NA	sgGRASP_1
sgATF4_2	sgARL8B_1	NA	NA	NA	sgGUCA2A_2
sgATF4_3	sgARL8B_2	NA	NA	NA	sgHDGF_4
sgATMIN_1	sgARMC10_2	NA	NA	NA	sgHDLBP_2
