multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgCDC27_1	sgBHMT_1	NA	NA	NA	sgC15orf53_4
sgCDC27_3	sgBIK_1	NA	NA	NA	sgC15orf54_1
sgCDC27_4	sgBIN2_2	NA	NA	NA	sgC15orf54_2
sgCDC37_3	sgBIN2_3	NA	NA	NA	sgC15orf54_3
sgCDC42EP3_1	sgBLCAP_1	NA	NA	NA	sgC15orf54_4
sgCDC42_1	sgBLCAP_4	NA	NA	NA	sgC15orf56_1
sgCDC42_2	sgBLOC1S2_3	NA	NA	NA	sgC15orf56_2
sgCDK11A_1	sgBLOC1S6_4	NA	NA	NA	sgC15orf56_3
sgCDK11A_2	sgBLZF1_2	NA	NA	NA	sgC15orf56_4
sgCDK11A_3	sgBMP10_4	NA	NA	NA	sgC15orf57_4
sgCDK11A_4	sgBMX_3	NA	NA	NA	sgC16orf3_1
sgCDK2AP1_2	sgBMX_4	NA	NA	NA	sgC16orf3_2
sgCDK2AP2_1	sgBOC_3	NA	NA	NA	sgC16orf3_3
sgCDK5_1	sgBOLA3_2	NA	NA	NA	sgC16orf3_4
sgCDK7_4	sgBPIFA1_4	NA	NA	NA	sgC16orf47_1
sgCDKN2AIPNL_2	sgBPIFB1_1	NA	NA	NA	sgC16orf47_2
sgCDKN2AIPNL_4	sgBRCA1_4	NA	NA	NA	sgC16orf47_3
sgCDPF1_1	sgBRCC3_4	NA	NA	NA	sgC16orf47_4
sgCDRT15L2_1	sgBRD7_1	NA	NA	NA	sgC16orf97_1
sgCDRT15L2_2	sgBRD7_2	NA	NA	NA	sgC16orf97_2
sgCDRT15L2_3	sgBRD7_4	NA	NA	NA	sgC16orf97_3
sgCDRT15_1	sgBRI3_3	NA	NA	NA	sgC16orf97_4
sgCDRT15_2	sgBRIX1_2	NA	NA	NA	sgC16orf98_1
sgCDRT15_3	sgBRS3_3	NA	NA	NA	sgC16orf98_2
sgCDRT1_1	sgBTBD10_2	NA	NA	NA	sgC16orf98_3
sgCDRT1_2	sgBTBD10_3	NA	NA	NA	sgC16orf98_4
sgCDRT1_3	sgBTBD10_4	NA	NA	NA	sgC17orf100_4
sgCENPC_2	sgBTBD6_2	NA	NA	NA	sgC17orf102_1
sgCENPI_3	sgBTBD6_4	NA	NA	NA	sgC17orf102_2
sgCEP170_3	sgBTBD7_4	NA	NA	NA	sgC17orf102_3
sgCEP57L1_1	sgBUB3_1	NA	NA	NA	sgC17orf102_4
sgCEP57L1_2	sgBUB3_3	NA	NA	NA	sgC17orf112_1
sgCES1_2	sgBZW1_2	NA	NA	NA	sgC17orf112_2
sgCES1_3	sgC10orf128_4	NA	NA	NA	sgC17orf112_3
sgCES1_4	sgC10orf131_2	NA	NA	NA	sgC17orf112_4
sgCHADL_4	sgC10orf71_4	NA	NA	NA	sgC17orf51_1
sgCHCHD1_4	sgC10orf88_2	NA	NA	NA	sgC17orf51_3
sgCHCHD3_2	sgC11orf24_1	NA	NA	NA	sgC17orf51_4
sgCHCHD4_1	sgC11orf24_2	NA	NA	NA	sgC17orf62_4
sgCHCHD4_2	sgC11orf24_3	NA	NA	NA	sgC17orf77_1
sgCHCHD4_3	sgC11orf58_1	NA	NA	NA	sgC17orf77_2
sgCHEK2_4	sgC11orf58_2	NA	NA	NA	sgC17orf77_3
sgCHMP4B_1	sgC11orf65_1	NA	NA	NA	sgC17orf77_4
sgCHMP4B_3	sgC12orf29_3	NA	NA	NA	sgC17orf82_1
sgCHORDC1_2	sgC12orf36_3	NA	NA	NA	sgC17orf82_2
sgCHORDC1_4	sgC12orf49_3	NA	NA	NA	sgC17orf82_3
sgCHP1_4	sgC12orf60_1	NA	NA	NA	sgC17orf82_4
sgCIAPIN1_1	sgC14orf166_4	NA	NA	NA	sgC17orf85_2
sgCIAPIN1_3	sgC15orf26_1	NA	NA	NA	sgC19orf18_3
sgCKS2_3	sgC15orf37_4	NA	NA	NA	sgC19orf47_1
sgCKS2_4	sgC16orf58_1	NA	NA	NA	sgC19orf48_1
sgCLDN6_1	sgC16orf62_1	NA	NA	NA	sgC19orf48_2
sgCLDN6_2	sgC16orf70_4	NA	NA	NA	sgC19orf48_4
sgCLDN6_3	sgC16orf93_3	NA	NA	NA	sgC19orf57_1
sgCLDN6_4	sgC17orf51_2	NA	NA	NA	sgC1QTNF2_1
sgCLEC4G_2	sgC17orf58_1	NA	NA	NA	sgC1QTNF2_2
sgCLIC1_4	sgC17orf58_2	NA	NA	NA	sgC1RL_3
sgCLK2_1	sgC17orf58_3	NA	NA	NA	sgC1orf137_1
sgCLNS1A_4	sgC17orf74_3	NA	NA	NA	sgC1orf137_2
sgCLUH_2	sgC17orf89_2	NA	NA	NA	sgC1orf137_3
sgCNOT6L_1	sgC17orf97_4	NA	NA	NA	sgC1orf137_4
