multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgARHGAP11A_3	sgAMELX_4	NA	sgGTF3A_2	NA	sgCMTM4_1
sgARHGAP11A_4	sgAMELY_3	NA	sgGYG1_2	NA	sgCNTNAP3_4
sgARHGAP11A_5	sgAMFR_4	NA	sgH2AFY_5	NA	sgCOA6_1
sgARHGAP11B_1	sgAMIGO1_4	NA	sgHCFC1R1_1	NA	sgCOL12A1_1
sgARHGAP11B_2	sgAMMECR1L_3	NA	sgHCST_3	NA	sgCOPB2_1
sgARHGAP11B_4	sgAMMECR1_3	NA	sgHDAC7_1	NA	sgCOQ2_5
sgARHGAP11B_5	sgAMN1_3	NA	sgHERC4_6	NA	sgCOQ3_2
sgARHGAP21_4	sgAMT_3	NA	sgHERPUD2_2	NA	sgCOX6A1_2
sgARHGAP27_9	sgAMY2A_1	NA	sgHHIP_2	NA	sgCPEB1_1
sgARHGEF35_2	sgAMZ2_3	NA	sgHIGD2A_3	NA	sgCPE_2
sgARHGEF35_3	sgANAPC10_1	NA	sgHIST1H2AE_4	NA	sgCPNE4_2
sgARHGEF35_4	sgANAPC10_2	NA	sgHMGCLL1_4	NA	sgCRCP_11
sgARHGEF35_5	sgANAPC11_1	NA	sgHNMT_6	NA	sgCREM_21
sgARHGEF5_1	sgANAPC13_1	NA	sgHSD17B12_3	NA	sgCRISP3_5
sgARHGEF5_2	sgANAPC15_1	NA	sgHTR3D_4	NA	sgCUBN_3
sgARID3B_1	sgANAPC1_3	NA	sgHUS1_1	NA	sgCUEDC1_4
sgARID3B_2	sgANAPC2_5	NA	sgICOSLG_3	NA	sgCUEDC2_2
sgARID3B_3	sgANGEL1_3	NA	sgIFI27_2	NA	sgCUL2_3
sgARID3B_4	sgANGPT1_2	NA	sgIFNA6_1	NA	sgCXCL12_10
sgARID3B_5	sgANGPT1_4	NA	sgIFNB1_2	NA	sgCXorf30_5
sgARIH2_4	sgANGPTL7_4	NA	sgIGLL1_3	NA	sgCYB561A3_4
sgARL14EP_1	sgANG_3	NA	sgIGSF11_4	NA	sgCYB561D1_3
sgARL14EP_3	sgANK1_1	NA	sgIK_5	NA	sgCYB561D1_4
sgARL16_2	sgANK1_11	NA	sgIL15RA_1	NA	sgCYBRD1_3
sgARL2BP_1	sgANKDD1B_3	NA	sgIL18_5	NA	sgCYP11B1_1
sgARL2BP_5	sgANKMY2_1	NA	sgIL1A_2	NA	sgCYP2B6_5
sgARL4A_1	sgANKRA2_5	NA	sgIL1RN_5	NA	sgCYP4V2_1
sgARL4A_2	sgANKRD12_1	NA	sgIL3_5	NA	sgDAGLA_2
sgARL4A_3	sgANKRD13A_2	NA	sgIL8_3	NA	sgDAOA_12
sgARL4A_4	sgANKRD13B_5	NA	sgIL9_2	NA	sgDAOA_5
sgARL5A_5	sgANKRD18A_4	NA	sgIMMP1L_4	NA	sgDBI_7
sgARL6IP1_1	sgANKRD22_3	NA	sgING5_2	NA	sgDBNDD2_7
sgARL8B_1	sgANKRD2_5	NA	sgINVS_4	NA	sgDCAF13_2
sgARL8B_2	sgANKRD31_2	NA	sgIRAK2_5	NA	sgDCAF13_3
sgARMC10_1	sgANKRD33_2	NA	sgIRF3_4	NA	sgDCAF13_4
sgARMC10_5	sgANKRD34C_3	NA	sgISCA2_6	NA	sgDCAF13_5
sgARMC1_2	sgANKRD36_2	NA	sgISY1_2	NA	sgDCTN2_2
sgARMC1_3	sgANKRD39_1	NA	sgJMJD7_5	NA	sgDCTN5_7
sgARMC1_6	sgANKRD40_5	NA	sgKCND1_5	NA	sgDCTN5_8
sgARMC4_1	sgANKRD42_5	NA	sgKCNK10_2	NA	sgDCTN5_9
sgARMCX6_1	sgANKRD49_1	NA	sgKCTD1_4	NA	sgDCTPP1_2
sgARMCX6_2	sgANKRD49_3	NA	sgKDM8_5	NA	sgDDX26B_1
sgARPC1A_2	sgANKRD62_2	NA	sgKLHL30_1	NA	sgDDX31_4
sgARPC1A_5	sgANKRD62_3	NA	sgKLK15_5	NA	sgDDX31_5
sgARPC3_1	sgANKRD62_4	NA	sgKLRG1_1	NA	sgDEFB110_3
sgARPP19_1	sgANKRD65_4	NA	sgKPNA2_3	NA	sgDEFB112_4
sgARPP19_3	sgANKRD65_6	NA	sgKRT25_5	NA	sgDEFB112_5
sgARPP19_4	sgANKRD65_8	NA	sgKRT28_4	NA	sgDEFB119_5
sgARPP19_5	sgANKRD66_2	NA	sgKRT35_3	NA	sgDEFB119_6
sgARSD_1	sgANKRD7_3	NA	sgKRTAP10-8_3	NA	sgDEFB119_7
sgARSD_2	sgANKS1B_2	NA	sgLAMB3_5	NA	sgDEFB119_8
sgARSD_4	sgANKS1B_9	NA	sgLAT2_1	NA	sgDEFB119_9
sgASAH2B_1	sgANO6_5	NA	sgLDB3_4	NA	sgDHH_4
